customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,Charges.Daily,Charges.Monthly,Charges.Total,Charges.Daily_range,Charges.Monthly_range,Charges.Total_range,tenure_range
0002-ORFBO,Female,0,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,No,9,2.1866666666666665,65.6,593.3,2.0-2.5,50.0-70.0,396.0-1142.5,0-12
0003-MKNFE,Male,0,No,No,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,No,9,1.9966666666666666,59.9,542.4,1.5-2.0,50.0-70.0,396.0-1142.5,0-12
0004-TLHLJ,Male,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,4,2.4633333333333334,73.9,280.85,2.0-2.5,70.0-80.0,0 - 396.0,0-12
0011-IGKFF,Male,1,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,13,3.2666666666666666,98.0,1237.85,3.0-4.0,90.0-119.0,1142.5-1389.0,12-24
0013-EXCHZ,Female,1,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,Yes,3,2.796666666666667,83.9,267.4,2.5-3.0,80.0-90.0,0 - 396.0,0-12
0013-MHZWF,Female,0,No,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,9,2.3133333333333335,69.4,571.45,2.0-2.5,50.0-70.0,396.0-1142.5,0-12
0013-SMEOE,Female,1,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,71,3.6566666666666667,109.7,7904.25,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0014-BMAQU,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),No,63,2.8216666666666668,84.65,5377.8,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
0015-UOCOJ,Female,1,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,7,1.6066666666666667,48.2,340.35,1.5-2.0,35.0-50.0,0 - 396.0,0-12
0016-QLJIS,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No,65,3.015,90.45,5957.9,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
